date,pnl,cum,delta,target_delta,stress,trend,tail_active
2020-11-02,4.44392659500005,99.37965591827158,1.5,1.5,0.0,1.0,0.0
2020-11-03,1.848234285000018,101.2278902032716,1.5,1.5,0.0,1.0,0.0
2020-11-04,2.3024488199999382,103.53033902327154,1.5,1.5,0.0,1.0,0.0
2020-11-05,0.7733895750000102,104.30372859827155,1.5,1.5,0.0,1.0,0.0
2020-11-06,6.704566454999991,111.00829505327154,1.5,1.5,0.0,1.0,0.0
2020-11-09,0.382650840000025,111.39094589327156,1.5,1.5,0.0,1.0,0.0
2020-11-10,0.11242316999999957,111.50336906327156,1.5,1.5,0.0,1.0,0.0
2020-11-11,-3.1918705949999833,108.31149846827158,1.5,1.5,0.0,1.0,0.0
2020-11-12,1.6615795049999917,109.97307797327157,1.5,1.5,0.0,1.0,0.0
2020-11-13,4.919680965000026,114.8927589382716,1.5,1.5,0.0,1.0,0.0
2020-11-16,6.726817409999967,121.61957634827156,1.5,1.5,0.0,1.0,0.0
2020-11-17,-3.072275864999966,118.5473004832716,1.5,1.5,0.0,1.0,0.0
2020-11-18,0.3789329699999371,118.92623345327154,1.5,1.5,0.0,1.0,0.0
2020-11-19,1.076743635000014,120.00297708827155,1.5,1.5,0.0,1.0,0.0
2020-11-20,13.380276480000049,133.38325356827158,1.5,1.5,0.0,1.0,0.0
2020-11-23,-4.502994690000065,128.88025887827152,1.5,1.5,0.0,1.0,0.0
2020-11-24,6.388832519999994,135.2690913982715,1.5,1.5,0.0,1.0,0.0
2020-11-25,1.7752220700000692,137.04431346827158,1.5,1.5,0.0,1.0,0.0
2020-11-27,13.003632479999936,150.04794594827152,1.5,1.430022993692575,0.0,1.0,0.0
2020-11-30,3.146219880000018,153.19416582827154,1.5,1.421382606197403,0.0,1.0,0.0
2020-12-01,6.583298816418085,159.77746464468962,1.3954121178875194,1.3954121178875194,0.0,1.0,0.0
2020-12-02,0.4660233849020033,160.24348802959162,1.3954121178875194,1.3995442276632715,0.0,1.0,0.0
2020-12-03,0.24677173971255256,160.49025976930417,1.3954121178875194,1.4062953004665806,0.0,1.0,0.0
2020-12-04,4.788145821805942,165.27840559111013,1.3954121178875194,1.3809522906157812,0.0,1.0,0.0
2020-12-07,-1.0165263032002156,164.26187928790992,1.3954121178875194,1.4369992295203164,0.0,1.0,0.0
2020-12-08,-2.4099818160783095,161.85189747183162,1.3954121178875194,1.4300029733220119,0.0,1.0,0.0
2020-12-09,1.991542668148149,163.84344013997978,1.3954121178875194,1.42516593505178,0.0,1.0,0.0
2020-12-10,8.641160664174132,172.4846008041539,1.3954121178875194,1.3550419567069156,0.0,1.0,0.0
2020-12-11,-6.572565069187177,165.91203573496674,1.3954121178875194,1.315862214873795,0.0,1.0,0.0
2020-12-14,-0.11615403492236029,165.79588170004436,1.3954121178875194,1.3411889228473821,0.0,1.0,0.0
2020-12-15,2.3898358745711326,168.1857175746155,1.3954121178875194,1.3851388428383986,0.0,1.0,0.0
2020-12-16,1.9219671269137841,170.10768470152928,1.3954121178875194,1.3920146645416396,0.0,1.0,0.0
2020-12-17,5.91111145425902,176.0187961557883,1.3954121178875194,1.3556237815576655,0.0,1.0,0.0
2020-12-18,4.389078510510492,180.4078746662988,1.3954121178875194,1.3382406347007716,0.0,1.0,0.0
2020-12-21,-8.019526206183992,172.3883484601148,1.4861541865325238,1.4861541865325238,0.0,1.0,0.0
2020-12-22,-8.515167752379373,163.87318070773543,1.4861541865325238,1.430801097170062,0.0,1.0,0.0
2020-12-23,5.25969557098342,169.13287627871884,1.4861541865325238,1.4509539391757027,0.0,1.0,0.0
2020-12-24,0.9394603163061029,170.07233659502495,1.4861541865325238,1.453892480486129,0.0,1.0,0.0
2020-12-28,1.285991584227089,171.35832817925203,1.4861541865325238,1.5,0.0,1.0,0.0
2020-12-29,-2.369522065222323,168.9888061140297,1.4861541865325238,1.5,0.0,1.0,0.0
2020-12-30,-0.8963747744380385,168.09243133959166,1.4861541865325238,1.5,0.0,1.0,0.0
2020-12-31,-4.48800063199357,163.60443070759808,1.4861541865325238,1.5,0.0,1.0,0.0
2021-01-04,5.383565601015333,168.98799630861342,1.4861541865325238,1.5,0.0,1.0,0.0
2021-01-05,4.237484406630514,173.22548071524392,0.5,0.5,1.0,1.0,1.0
2021-01-06,0.5632579088134133,173.78873862405734,0.5004652706563893,0.5,1.0,1.0,1.0
2021-01-07,2.278473821772638,176.06721244583,0.5011099245379919,0.5,1.0,1.0,1.0
2021-01-08,-3.292540107145576,172.7746723386844,1.4750040110379459,1.4750040110379459,0.0,1.0,0.0
2021-01-11,-2.291663000783145,170.48300933790128,0.19999999999999996,0.2,1.0,1.0,1.0
2021-01-12,0.8118001845932858,171.29480952249457,0.2028884963296571,0.2,1.0,1.0,1.0
2021-01-13,0.23100106433938905,171.52581058683396,0.20353705240326259,0.2,1.0,1.0,1.0
2021-01-14,0.9562764640704751,172.48208705090443,0.20455537042170013,0.2,1.0,1.0,1.0
2021-01-15,-1.2505099740996095,171.23157707680483,0.20169606244737948,0.2,1.0,1.0,1.0
2021-01-19,1.5207876472124235,172.75236472401724,0.5,0.5,1.0,1.0,1.0
2021-01-20,1.0397737327974972,173.79213845681474,1.2605627017844103,1.2605627017844103,0.0,1.0,0.0
2021-01-21,0.8325994459382242,174.62473790275297,1.2605627017844103,1.3075948564073503,0.0,1.0,0.0
2021-01-22,-2.9523736792357758,171.6723642235172,1.3613951069314607,1.3613951069314607,0.0,1.0,0.0
2021-01-25,0.5408090329270941,172.2131732564443,1.3613951069314607,1.3872214177109048,0.0,1.0,0.0
2021-01-26,-1.2505184606795827,170.9626547957647,1.3613951069314607,1.386344090741638,0.0,1.0,0.0
2021-01-27,-8.405441208263785,162.5572135875009,1.3613951069314607,1.314535973182085,0.0,1.0,0.0
2021-01-28,2.32424698322409,164.881460570725,1.3613951069314607,1.3138767760073191,0.0,1.0,0.0
2021-01-29,-3.0729551938747544,161.80850537685026,1.3613951069314607,1.3054585241257923,0.0,1.0,0.0
2021-02-01,-1.465949856339278,160.34255552051098,1.3613951069314607,1.3199899970659341,0.0,1.0,0.0
2021-02-02,-2.815775637056604,157.52677988345437,1.3613951069314607,1.3366474833249689,0.0,1.0,0.0
2021-02-03,5.8628647417518955,163.38964462520627,1.4517076673650888,1.4517076673650888,0.0,1.0,0.0
2021-02-04,-1.5909871430800606,161.7986574821262,1.4517076673650888,1.451727097741756,0.0,1.0,0.0
2021-02-05,10.353123566815956,172.15178104894215,1.4517076673650888,1.3823810692143645,0.0,1.0,0.0
2021-02-08,5.325387473570283,177.47716852251244,1.361974501531429,1.361974501531429,0.0,1.0,0.0
2021-02-09,7.832282745000043,185.3094512675125,1.5,1.5,0.0,1.0,0.0
2021-02-10,8.187957254999958,193.49740852251244,1.5,1.5,0.0,1.0,0.0
2021-02-11,0.03853703999999425,193.53594556251244,1.5,1.5,0.0,1.0,0.0
2021-02-12,2.0447021100000313,195.58064767251247,1.5,1.5,0.0,1.0,0.0
